Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AuthService\AuthService.csproj,File,AuthService\AuthService.csproj,,,Aspire.Hosting 9.5.1,,,,,"Aspire.Hosting, 9.5.1  Recommendation:  Remove Aspire.Hosting, and replace with new package Aspire.Hosting.AppHost 13.1.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AuthService\AuthService.csproj,File,AuthService\AuthService.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.20,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.20  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AuthService\AuthService.csproj,File,AuthService\AuthService.csproj,,,Microsoft.Extensions.Hosting.Abstractions 9.0.9,,,,,"Microsoft.Extensions.Hosting.Abstractions, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AuthService\AuthService.csproj,File,AuthService\AuthService.csproj,,,Aspire.Hosting 9.5.1,,,,,"Aspire.Hosting, 9.5.1  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotnet/aspire/support Remove Aspire.Hosting, and replace with new package Aspire.Hosting, 13.1.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AuthService\AuthService.csproj,File,AuthService\AuthService.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AuthService\AuthService.csproj,File,AuthService\Services\DemoPublisherService.cs,68,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(INTERVAL_SECONDS), stoppingToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AuthService\AuthService.csproj,File,AuthService\Services\DemoPublisherService.cs,35,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(INTERVAL_SECONDS), stoppingToken);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AuthService\AuthService.csproj,File,AuthService\Program.cs,21,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<MongoDBSettings>(                  builder.Configuration.GetSection(""MongoDB""));"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GateWayTCP\GateWayTCP.csproj,File,GateWayTCP\GateWayTCP.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,GateWayTCP\GateWayTCP.csproj,File,GateWayTCP\Program.cs,80,24,T:System.Uri,,,,,"var uri = new Uri(""https://"" + urlTCPService);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,GateWayTCP\GateWayTCP.csproj,File,GateWayTCP\Program.cs,80,24,M:System.Uri.#ctor(System.String),,,,,"var uri = new Uri(""https://"" + urlTCPService);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,GateWayTCP\GateWayTCP.csproj,File,GateWayTCP\Program.cs,22,12,"M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddSimpleConsole(Microsoft.Extensions.Logging.ILoggingBuilder,System.Action{Microsoft.Extensions.Logging.Console.SimpleConsoleFormatterOptions})",,,,,"builder.Logging.AddSimpleConsole(opt =>              {                  opt.ColorBehavior = LoggerColorBehavior.Enabled;                  opt.SingleLine = true;                  opt.TimestampFormat = ""HH:mm:ss "";              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,GateWayTCP\GateWayTCP.csproj,File,GateWayTCP\Program.cs,17,12,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services.AddHttpClient();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,GateWayTCP\GateWayTCP.csproj,File,GateWayTCP\TcpGatewayService.cs,55,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var internalHost = _config.GetValue<string>(""ASPIRE__ENDPOINT__TCP_INTERNAL__HOST"") ?? ""localhost"";"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MicroservicesServer.AppHost\MicroservicesServer.AppHost.csproj,File,MicroservicesServer.AppHost\MicroservicesServer.AppHost.csproj,,,Aspire.Hosting.AppHost 13.1.0,,,,,"Aspire.Hosting.AppHost, 13.1.0  Recommendation:  Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost 13.1.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MicroservicesServer.AppHost\MicroservicesServer.AppHost.csproj,File,MicroservicesServer.AppHost\MicroservicesServer.AppHost.csproj,,,Aspire.Hosting.Kafka 13.1.0,,,,,"Aspire.Hosting.Kafka, 13.1.0  Recommendation:  Remove Aspire.Hosting.Kafka, and replace with new package Aspire.Hosting.Kafka 13.1.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MicroservicesServer.AppHost\MicroservicesServer.AppHost.csproj,File,MicroservicesServer.AppHost\MicroservicesServer.AppHost.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
